epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.535,1.76226,3.2856,1.36291,0.77336,0.64495,0.69363,0.30094,1.78319,2.97029,1.21383,0.00012,0.00012,0.00012
2,340.846,1.38272,1.31317,1.06352,0.65063,0.62215,0.67026,0.38479,1.41083,1.44458,1.10127,0.000253722,0.000253722,0.000253722
3,502.646,1.46921,1.27335,1.07184,0.26016,0.76547,0.50555,0.21599,1.58143,6.71077,1.23315,0.000381581,0.000381581,0.000381581
4,670.259,1.38744,1.06201,1.23304,0.08834,0.53746,0.07195,0.03335,1.66493,16.3944,1.36853,0.000502702,0.000502702,0.000502702
5,847.172,1.32852,0.99246,1.1439,0.31957,0.6873,0.30208,0.14971,1.58497,5.66554,1.30435,0.000617377,0.000617377,0.000617377
6,1015.68,1.42172,0.99604,1.20297,0.06462,0.44951,0.0441,0.02111,1.68159,11.3184,1.6211,0.000725605,0.000725605,0.000725605
7,1196.25,1.46443,1.02938,1.24813,0.12672,0.64821,0.13026,0.05259,1.8933,18.8557,2.01509,0.000827386,0.000827386,0.000827386
8,1379.37,1.61057,1.10517,1.24808,0.00084,0.00651,0.00023,0.00012,0,38265.5,0,0.000922721,0.000922721,0.000922721
9,1562.11,1.57638,0.94933,1.30135,0.00108,0.02606,0.00053,0.00014,5.03548,29809,95.287,0.00100617,0.00100617,0.00100617
10,1743.13,1.5707,0.98688,1.27749,0.00108,0.02606,0.00053,0.00014,2.42281,203.106,8.53707,0.00108724,0.00108724,0.00108724
11,1924.44,1.51553,0.93628,1.29001,0.00597,0.00651,0.00104,0.00045,3.3399,216.185,8.69905,0.00116171,0.00116171,0.00116171
12,2105.73,1.5758,1.00718,1.28817,0.02559,0.35868,0.0156,0.00673,2.25377,50.8162,2.387,0.00122959,0.00122959,0.00122959
13,2294.78,1.61773,1.09581,1.32802,0.00876,0.44625,0.00662,0.00243,2.57302,569.239,3.02019,0.00129086,0.00129086,0.00129086
14,2473.31,1.62074,1.21284,1.33596,0.00876,0.44625,0.00662,0.00243,4.00881,12.2945,6.91655,0.00133103,0.00133103,0.00133103
15,2680.75,1.53323,1.00988,1.31057,0.00169,0.36482,0.00117,0.00039,3.72242,6499.69,36.586,0.0013239,0.0013239,0.0013239
16,2880.94,1.4907,1.04726,1.29979,0.00074,0.14658,0.00042,0.00013,3.69877,111.017,12.1353,0.00127561,0.00127561,0.00127561
17,3078.56,1.64137,1.03407,1.32356,0.00074,0.14658,0.00042,0.00013,6e-05,0.00023,7e-05,0.001208,0.001208,0.001208
18,3274.13,1.54023,1.00532,1.28044,0.00123,0.00977,0.00047,0.00018,3.46612,32.7277,3.8176,0.0011585,0.0011585,0.0011585
19,3458.39,1.59471,0.98555,1.32448,0.01252,0.22801,0.0066,0.00258,2.20152,19.1543,1.78986,0.001109,0.001109,0.001109
20,3651.66,1.52829,0.967,1.2603,0.18817,0.29316,0.11596,0.05488,1.87092,9.81824,1.56093,0.0010595,0.0010595,0.0010595
21,3882.11,1.42754,0.86524,1.21012,0.55107,0.49837,0.4777,0.25096,1.60581,1.86458,1.38865,0.00101,0.00101,0.00101
22,4075.03,1.38147,0.84778,1.23159,0.64663,0.62215,0.66064,0.36926,1.47117,1.4024,1.28077,0.000933846,0.000933846,0.000933846
23,4261.21,1.42722,0.84905,1.20712,0.75003,0.77199,0.82793,0.45831,1.47252,1.19981,1.32962,0.000883077,0.000883077,0.000883077
24,4467.14,1.33491,0.80877,1.16391,0.85724,0.74593,0.83463,0.50147,1.30777,0.99302,1.20804,0.000832308,0.000832308,0.000832308
25,4669.96,1.33706,0.74639,1.20268,0.91369,0.82761,0.88481,0.5439,1.27691,0.84954,1.22855,0.000781538,0.000781538,0.000781538
26,4853.57,1.24987,0.75524,1.13594,0.79959,0.89251,0.90112,0.56064,1.24026,0.80419,1.187,0.000730769,0.000730769,0.000730769
27,5042.64,1.33943,0.70196,1.1759,0.8743,0.88361,0.91737,0.57244,1.24295,0.75164,1.17206,0.00068,0.00068,0.00068
28,5227.25,1.21757,0.65553,1.13185,0.90218,0.91205,0.94677,0.59177,1.18244,0.70622,1.13419,0.000629231,0.000629231,0.000629231
29,5416.73,1.2178,0.65606,1.1549,0.89292,0.92356,0.95082,0.62118,1.12791,0.65492,1.11494,0.000578462,0.000578462,0.000578462
30,5624.84,1.23624,0.65359,1.1212,0.88757,0.9316,0.94677,0.60436,1.15794,0.6802,1.1131,0.000527692,0.000527692,0.000527692
31,5843.42,1.26373,0.66483,1.13165,0.9263,0.89902,0.94604,0.61696,1.14407,0.6276,1.10063,0.000476923,0.000476923,0.000476923
32,6053.45,1.19779,0.65632,1.0991,0.89405,0.90554,0.94836,0.60794,1.17301,0.6344,1.11204,0.000426154,0.000426154,0.000426154
33,6241.61,1.17799,0.61381,1.10622,0.91658,0.8947,0.95316,0.62502,1.08884,0.59213,1.09639,0.000375385,0.000375385,0.000375385
34,7423.94,1.14602,0.61502,1.0965,0.89345,0.93485,0.95561,0.63614,1.0972,0.58229,1.09603,0.000324615,0.000324615,0.000324615
